text,congress,chamber,date,,,,
"To pass hr 1594, caribbean basin initiative, to extend nondiscriminatory treatment to the products of the people's republic of hungary for 3 years.",One-Hundred and First Congress,Senate,4/24/1990,,,,
"To amend hr 4404, fiscal 1990 supplemental appropriations, to require a study and report on how united states foreign assistance programs may promote united states economic competitiveness.",One-Hundred and First Congress,Senate,4/27/1990,,,,
"To amend hr 4404, fiscal 1990 supplemental appropriations, to include the preservation of tropical rain forests and other environmental activities in nicaragua.",One-Hundred and First Congress,Senate,4/27/1990,,,,
"To amend hr 4404, fiscal 1990 supplemental appropriations, to provide for a study in the district of columbia for a system of early childhood educational development programs.",One-Hundred and First Congress,Senate,4/27/1990,,,,
"To amend s 135, hatch act reform, to provide limitations on the political activities of certain employees of the federal election commission.",One-Hundred and First Congress,Senate,5/10/1990,,,,
"To amend s 135, hatch act reform, to limit the permissible solicitation for participation in political activities by federal employees.",One-Hundred and First Congress,Senate,5/10/1990,,,,
"To amend s 2240, aids emergency relief, to prohibit the use of funds for needle distribution programs.",One-Hundred and First Congress,Senate,5/16/1990,,,,
"To amend s 2240, aids emergency relief, to condition the receipt of grants on the provision of assurances by state officials that state laws are adequate to protect donated blood.",One-Hundred and First Congress,Senate,5/16/1990,,,,
"To amend s 195, chemical and biological weapons control act, to establish a policy for the negotiation of multilateral controls on the proliferation of chemical or biological weapons.",One-Hundred and First Congress,Senate,5/17/1990,,,,
"To pass hr 987, tongass national forest wilderness, to amend the alaska national interest lands conservation act to designate certain lands in the tongass national forest as wilderness.",One-Hundred and First Congress,Senate,6/13/1990,,,,
"To amend s 566, national affordable housing act, to provide for the acquisition of video equipment to be used in detecting persons driving under the influence of alcohol or a controlled substance and effectively prosecuting those persons.",One-Hundred and First Congress,Senate,6/19/1990,,,,
"To adopt s. res. 311, concerning the select committee on ethics investigation of senator david f. durenberger.",One-Hundred and First Congress,Senate,7/25/1990,,,,
"To adopt the conference report on hr 1465, oil pollution liability and compensation act, to establish limitations on liability for damages resulting from oil pollution, and to establish a fund for the payment of compensation for such damages.",One-Hundred and First Congress,Senate,8/2/1990,,,,
"To adopt s. res. 318, condemning iraq's invasion of kuwait, to condemn iraq's invasion of kuwait.",One-Hundred and First Congress,Senate,8/2/1990,,,,
"To amend hr 5311, district of columbia appropriations act of 1991, to permit organizations in the district of columbia to exclude any person who has been convicted of a sex offense with a child or who based on his conduct otherwise poses a threat of engaging in sex with a minor or otherwise sexually abusing a minor, and to exclude a person in a program from working with a child if the parent or guardian of that child objects to that person's sexual orientation.",One-Hundred and First Congress,Senate,9/12/1990,,,,
"To adopt treaty doc. 99-13, tax convention with tunisia, and treaty doc. 101-9, supplemental protocol to the tax convention with tunisia, to avoid double taxation and prevent fiscal evasion of income taxes, and to include changes brought about by the tax reform act of 1982. (adopted; two-thirds majority of Senate voting in favor.)",One-Hundred and First Congress,Senate,9/18/1990,,,,
"To adopt treaty doc. 100-22, tax convention with the republic of indonesia, to avoid double taxation and prevent fiscal evasion of income taxes. (adopted; two-thirds majority of Senate voting in favor.)",One-Hundred and First Congress,Senate,9/18/1990,,,,
"To adopt treaty doc. 105-5, tax convention with the republic of india, to avoid double taxation and prevent fiscal evasion of income taxes. (adopted; two-thirds majority of Senate voting in favor.)",One-Hundred and First Congress,Senate,9/18/1990,,,,
"To adopt treaty doc. 101-6, council of europe-oecd convention on mutual administrative assistance in tax matters, to establish a broad-based international framework of assistance in information exchange, tax collection efforts, and service of documents. (adopted; two-thirds majority of Senate voting in favor.)",One-Hundred and First Congress,Senate,9/18/1990,,,,
"To adopt treaty doc. 101-10, tax convention with the federal republic of germany, to avoid double taxation and prevent fiscal evasion of income taxes. (adopted; two-thirds majority of Senate voting in favor.)",One-Hundred and First Congress,Senate,9/18/1990,,,,
"To adopt treaty doc. 101-11, tax convention with the republic of finland, to avoid double taxation and prevent fiscal evasion of income taxes. (adopted; two-thirds majority of Senate voting in favor.)",One-Hundred and First Congress,Senate,9/18/1990,,,,
"To adopt treaty doc. 101-16, tax convention with spain, with protocol, to avoid double taxation and prevent fiscal evasion of income taxes. (adopted; two-thirds majority of Senate voting in favor.)",One-Hundred and First Congress,Senate,9/18/1990,,,,
"To adopt treaty doc n(a), 94-2, treaty with the ussr on the limitation of underground nuclear weapon tests.",One-Hundred and First Congress,Senate,9/25/1990,,,,
"To adopt treaty doc n(b), 94-2, treaty with the ussr on underground nuclear explosions for peaceful purposes.",One-Hundred and First Congress,Senate,9/25/1990,,,,
"To adopt the Resolution of ratification of treaty doc 101-20, treaty on the final settlement with respect to germany.",One-Hundred and First Congress,Senate,10/10/1990,,,,
"To pass hr 2061, fishery conservation amendments of 1990, to authorize appropriations to carry out the magnuson fishery conservation and management act for fiscal years 1990, 1991, and 1992.",One-Hundred and First Congress,Senate,10/11/1990,,,,
To adopt the motion to dismiss article xvii of the articles of impeachment against federal district judge alcee l. hastings. motion rejected.,One-Hundred and First Congress,Senate,3/16/1989,,,,
To adopt article xvi in the impeachment proceedings of federal judge alcee l. hastings. article xvi says that judge hastings learned of and used highly confidential information on a wiretap of which he was the supervising judge. (not guilty; two-thirds of the members present not having voted in the affirmative.),One-Hundred and First Congress,Senate,10/20/1989,,,,
"To table the nickles (r, ok) amendment to s 3209, omnibus budget reconciliation act of 1990, to reduce the proposed increase in the statutory limit on the public debt.",One-Hundred and First Congress,Senate,10/18/1990,,,,
"H.c.r.41 by feighan (d-oh) -- Resolution concerning the iraqi attack against israel (House passed h.con.res. 41, amended, condemning the iraqi attack against israel.)",One-Hundred and Second Congress,House,1/23/1991,,,,
"H.c.r.48 by aspin (d-wi) -- Resolution concerning the treatment of prisoners of war by iraq (House passed h.con.res. 48, condemning the brutal treatment by the government of iraq of captured service members of the united states and its allies in the persian gulf conflict .)",One-Hundred and Second Congress,House,1/23/1991,,,,
"H.r.4 by rostenkowski (d-il) -- operation desert shield participants, extension of time to file income tax returns (pub. l. 102-2, approved 1/30/91) (House passed h.r. 4, amended, to extend the time for performing certain acts under the internal revenue laws for individuals performing services as part of the desert shield operation.)",One-Hundred and Second Congress,House,1/23/1991,,,,
"H.r.3 by montgomery (d-ms) -- veterans' compensation amendments of 1991 (pub. l. 102-3, approved 2/06/91) (House passed h.r. 3, to amend title 38, united states code, to revise, effective as of january 1, 1991, the rates of disability compensation for veterans with service-connected disabilities and the rates of dependency and indemnity compensation for survivors of such veterans.)",One-Hundred and Second Congress,House,1/23/1991,,,,
"H.c.r.40 by fascell (d-fl) -- Resolution concerning the use of soviet military force in the baltic states (House passed h.con.res. 40, amended, condemning the recent use of soviet military force in the baltic states.)",One-Hundred and Second Congress,House,1/23/1991,,,,
"H.r.556 by montgomery (d-ms) -- agent orange act of 1991 (pub. l. 102-4, approved 2/06/91) (House passed h.r. 556, amended, to provide for the secretary of veterans affairs to obtain independent scientific review of the available scientific evidence regarding associations between diseases and exposure to dioxin and other chemical compounds in herbicides.)",One-Hundred and Second Congress,House,1/29/1991,,,,
"H.r.555 by montgomery (d-ms) -- soldiers' and sailors' civil relief act amendments of 1991 (pub. l. 102-12, approved 3/18/91) (House passed h.r. 555, amended, to amend the soldiers' and sailors' civil relief act of 1940 to improve and clarify the protections provided by that act; and to amend title 38, united states code, to clarify veterans' reemployment rights and to improve veterans right to reinstatement of health insurance.)",One-Hundred and Second Congress,House,1/29/1991,,,,
"H.r.180 by penny (d-mn) -- veterans' benefits, title 38 u.s.c., amendment (pub. l. 102-16, approved 03/22/91) (House passed h.r. 180, to amend title 38, united states code, with respect to veterans education and employment programs.)",One-Hundred and Second Congress,House,2/5/1991,,,,
"H.r.154 by montgomery (d-ms) -- insular areas policy act (House passed h.r. 154, to provide for the transfer of an existing united states memorial erected under the auspices of the american legion, incorporated, for the use and benefit of american officers and enlisted personnel who served in world war i to the department of veterans affairs.)",One-Hundred and Second Congress,House,2/5/1991,,,,
"H.r.232 by staggers (d-wv) -- veterans' benefits, title 38 u.s.c., amendment (pub. l. 102-54, approved 6/13/91) (House passed h.r. 232, amended, to amend title 38, united states code, with respect to veterans programs for housing and memorial affairs, and for other purposes.)",One-Hundred and Second Congress,House,2/6/1991,,,,
"H.c.r.44 by shaw (r-fl) -- Resolution concerning displays of support for united states troops in the persian gulf (House passed h. con. res. 44, calling upon the people of the united states to display the american flag in show of support for the united states troops stationed in the persian gulf region.)",One-Hundred and Second Congress,House,2/20/1991,,,,
"H.res.19 by boxer (d-ca) -- Resolution concerning the submission of information regarding operation desert shield (House agreed to the fascell motion to lay on the table h.res. 19, calling for the submission to the House of representatives of certain information regarding operation desert shield.)",One-Hundred and Second Congress,House,2/21/1991,,,,
"S.j.r.55 by pell (d-ri) -- two hundredth anniversary of united states-portuguese diplomatic relations, commemoration (pub. l. 102-8, approved 3/08/91) (House passed s.j. res. 55, commemorating the two hundreth anniversary of united states-portuguese diplomatic relations.)",One-Hundred and Second Congress,House,2/27/1991,,,,
"H.r.991 by carper (d-de) -- defense production act extension and amendments of 1991 (pub. l. 102-99, approved 8/17/91) (House passed h.r. 991, amended, to extend the expiration date of the defense production act of 1950.)",One-Hundred and Second Congress,House,3/6/1991,,,,
"H.c.r.45 by yates (d-il) -- Resolution concerning a ceremony to commemorate the days of remembrance of victims of the holocaust (House passed h. con. res. 45, amended, permitting the use of the rotunda of the capitol for a ceremony to commemorate the days of remembrance of victims of the holocaust.)",One-Hundred and Second Congress,House,3/12/1991,,,,
"H.r.1282 by whitten (d-ms) -- operation desert shield/desert storm supplemental appropriations act, 1991 (pub. l. 102-28, approved 4/10/91) (House agreed to the whitten motion that the conference committee meetings between the House and the Senate be closed to the public at such times as classified national security information is under consideration, but that any sitting member shall have the right to amend any closed or open meeting.)",One-Hundred and Second Congress,House,3/21/1991,,,,
"S.534 by lott (r-ms) -- general h. norman schwarzkopf, congressional gold medal award (pub. l. 102-32, approved 4/23/91) (House passed s. 534, to authorize the president to award a gold medal on behalf of the Congress to general h. norman schwarzkopf, and to provide for the production of bronze duplicates of such medal for sale to the public .)",One-Hundred and Second Congress,House,4/11/1991,,,,
"S.565 by warner (r-va) -- general colin l. powell, congressional gold medal award (pub. l. 102-33, approved 4/23/91) (House passed s. 565, to authorize the president to award a gold medal on behalf of the Congress to general colin l. powell, and to provide for the production of bronze duplicates of such medal for sale to the public.)",One-Hundred and Second Congress,House,4/11/1991,,,,
"H.r.479 by bereuter (r-ne) -- national trails system act, amendment (pub. l. 102-328, approved 8/3/92) (House passed h.r. 479, amended, to amend the national trails system act to designate the california national historic trail and pony express national historic trail as components of the national trails system.)",One-Hundred and Second Congress,House,5/8/1991,,,,
"(House agreed to the upton amendment to the snowe amendment, as amended, that requires the secretary of state to seek reimbursement for the costs necessary to complete the reconstruction project of the united states embassy in moscow.)",One-Hundred and Second Congress,House,5/15/1991,,,,
"H.r.26 by annunzio (d-il) -- money laundering enforcement amendments of 1991 (House passed h.r. 26, amended, to require the federal depository institution regulatory agencies to take additional enforcement actions against depository institutions engaging in money laundering.)",One-Hundred and Second Congress,House,6/11/1991,,,,
(House agreed to the roybal amendment that adds a provision that not to exceed 4 percent of any appropriation made available to the irs for the current fiscal year may be transferred to any other irs appropriation.),One-Hundred and Second Congress,House,6/18/1991,,,,
"(House agreed to the roybal amendment that adds $475,423,000 for the purchase and hire of passenger motor vehicles, hire of aircraft and for official receptions for the secret service.)",One-Hundred and Second Congress,House,6/18/1991,,,,
"(House agreed to the bereuter amendment that provides for expanded disaster relief, rehabilitation, and food assistance to ethiopia, somalia, the sudan and djibouti, the so-called ""horn of africa"" countries; urges the president to take a prominent role in efforts to demilitarize and bring peace to the region; provides that relief be targeted particularly to refugees, women, urban poor and small farmers; and prohibits aid and security assistance to ethiopia, somalia, and the sudan until the president certifies that these countries are taking concrete steps toward peace, human rights, and democracy.)",One-Hundred and Second Congress,House,6/20/1991,,,,
"H.r.1455 by mccurdy (d-ok) -- intelligence authorization act, fiscal year 1991 (pub. l. 102-88, approved 8/14/91) (House agreed to order the previous question on the conference report.)",One-Hundred and Second Congress,House,7/31/1991,,,,
(House agreed to the kostmayer motion to table the richardson motion to reconsider the vote on passage.),One-Hundred and Second Congress,House,7/31/1991,,,,
"H.r.2967 by martinez (d-ca) -- older americans act amendments of 1992 native american programs act amendments of 1992 (pub. l. 102-375, approved 9/30/92) (House agreed to the hastert amendment that expresses the sense of Congress that the 1993 white House conference on aging should consider the impact of the social security earnings test on older americans who are employed.)",One-Hundred and Second Congress,House,9/12/1991,,,,
"(House passed h.r. 2967, to amend the older americans act of 1965 to authorize appropriations for fiscal years 1992 through 1995; authorizing a 1993 national conference on aging; amending the native americans programs act of 1974 to authorize appropriations for fiscal years 1992 through 1995.)",One-Hundred and Second Congress,House,9/12/1991,,,,
"(House agreed to the aspin motion that the conference committee meetings on h.r. 2100 be closed to the public at such times as classified national security information is under consideration, except that any sitting member of Congress shall have the right to attend any closed or open meeting.)",One-Hundred and Second Congress,House,9/16/1991,,,,
"H.r.3291 by dixon, julian (d-ca) -- district of columbia appropriations act, 1992 district of columbia supplemental appropriations and rescissions act, 1991 (pub. l. 102-111, approved 10/01/91) (House disagreed to the Senate amendments to h.r. 3291, making appropriations for the government of the district of columbia and other activities chargeable in whole or in part against the revenues of said district for the fiscal year ending september 30, 1992.)",One-Hundred and Second Congress,House,9/17/1991,,,,
"H.r.2622 by roybal (d-ca) -- treasury, postal service and general government appropriations act, 1992 treasury department appropriations act, 1992 postal service appropriations act, 1992 executive office appropriations act, 1992 independent agencies appropriations act, 1992 (pub. l. 102-141, approved 10/28/91) (House agreed to the wolf motion to instruct House conferees to agree to Senate amendment no. 154, concerning sentencing guidelines for federal child pornography offenses.)",One-Hundred and Second Congress,House,9/24/1991,,,,
"H.c.r.199 by stearns (r-fl) -- Resolution commending the people and leaders of the union of soviet socialist republics (House passed h. con. res. 199, as amended, commending the people of the union of soviet socialist republics and their democratically elected leaders for their continuing courage and commitment to freedom.)",One-Hundred and Second Congress,House,9/24/1991,,,,
"H.res.226 by gordon (d-tn) -- procedural Resolution - h.r. 2900 (House passed h.res. 226, the rule providing for consideration of h.r. 2900.)",One-Hundred and Second Congress,House,9/25/1991,,,,
"H.res.241 by frost (d-tx) -- procedural Resolution - h.r. 1470 (House passed h. res. 241, the rule under which h.r. 1470 was considered.)",One-Hundred and Second Congress,House,10/10/1991,,,,
"H.r.2521 by murtha (d-pa) -- department of defense appropriations act, 1992 (pub. l. 102-172, approved 11/26/91) (House agreed to the murtha motion that the conference committee meetings between the House and the Senate on h.r. 2521, making appropriations for the department of defense for the fiscal year ending september 30, 1992, be closed to the public at such times as classified national security information is under consideration; provided that any sitting member of Congress shall have a right to attend any closed or open meeting.)",One-Hundred and Second Congress,House,10/16/1991,,,,
"H.r.2454 by dingell (d-mi) -- generic drug enforcement act of 1992 (pub. l. 102-282, approved 5/13/92) (House passed h.r. 2454, to authorize the secretary of health and human services to impose debarments and other penalties for illegal activities involving the approval of abbreviated drug applications under the federal food, drug, and cosmetic act.)",One-Hundred and Second Congress,House,10/31/1991,,,,
"H.c.r.226 by owens, wayne (d-ut) -- Resolution commending the participants in the middle east peace conference (House passed h. con. res. 226, amended, to commend the participants in the middle east peace conference to be held in madrid on october 30, 1991.)",One-Hundred and Second Congress,House,11/20/1991,,,,
"H.r.1724 by gibbons (d-fl) -- termination of the application of title iv of the trade act of 1974 to czechoslovakia and hungary andean trade preference act chemical and biological weapons control and warfare elimination act of 1991 (pub. l. 102-182, approved 12/4/91) (House agreed to the crane motion to instruct House conferees to insist on the position of the House in regard to that portion of the House amendment designed to combat illegal drug imports by providing trade incentives to stimulate alternatives to drug exports for certain countries under the andean initiative contained in h.r. 661.)",One-Hundred and Second Congress,House,11/21/1991,,,,
"H.r.3909 by rostenkowski (d-il) -- tax extension act of 1991 (pub. l. 102-227, approved 12/11/91) (House passed h.r. 3909, to amend the internal revenue code of 1986 to extend certain expiring provisions.)",One-Hundred and Second Congress,House,11/26/1991,,,,
"H.c.r.268 by jones, walter (d-nc) -- Resolution correcting technical errors in h.r. 3866 (House passed h. con. res. 268, to correct technical errors in the enrollment of h.r. 3866.)",One-Hundred and Second Congress,House,1/28/1992,,,,
"H.r.4113 by ortiz (d-tx) -- transfer of the u.s.s. lexington to the corpus christi area convention and visitors bureau, provision (pub. l. 102-255, approved 3/12/92) (House passed h.r. 4113, amended, to permit the transfer before the expiration of the otherwise applicable 60-day congressional review period of the obsolete training aircraft carrier u.s.s. lexington to the city of corpus christi, texas, for use as a naval museum and memorial.)",One-Hundred and Second Congress,House,2/25/1992,,,,
"H.r.2152 by studds (d-ma) -- high seas driftnet fisheries enforcement act central bering sea fisheries enforcement act of 1992 (pub. l. 102-582, approved 11/02/92) (House passed h.r. 2512, amended, to enhance the effectiveness of the united nations international driftnet fishery conservation program.)",One-Hundred and Second Congress,House,2/25/1992,,,,
"H.c.r.239 by russo (d-il) -- Resolution congratulating the people of lithuania on their revolution and commitment to democracy (House passed h. con. res. 239, congratulating the people of lithuania for their successful peaceful revolution and their continuing commitment to the ideals of democracy.)",One-Hundred and Second Congress,House,2/25/1992,,,,
"H.j.r.414 by coughlin (r-pa) -- Resolution regarding the san antonio drug summit (House passed h.j. res. 414, to honor, on the eve of the second drug summit, the hundreds of south americans and north americans who have lost their lives while defending their nations and the world community from the threat of drug trafficking and drug-related crime and violence.)",One-Hundred and Second Congress,House,2/25/1992,,,,
"H.res.396 by gephardt (d-mo) -- Resolution concerning the disclosure of account information at the House bank (House passed h.res. 396, instructing the committee on standards of official conduct to make certain further disclosure of account information of those members and former members of the House of representatives who the committee finds had checks held by the sergeant at arms bank.)",One-Hundred and Second Congress,House,3/12/1992,,,,
"H.r.4276 by vento (d-mn) -- historic sites selection reform act of 1992 (House passed h.r. 4276, to amend the historic sites, buildings and antiquities act to place certain limits on appropriations for projects not specifically authorized by law.)",One-Hundred and Second Congress,House,4/7/1992,,,,
"H.r.3337 by baker (r-la) -- 1992 white House commemorative coin act world cup usa 1994 commemorative coin act frank annunzio act christopher columbus quincentenary coin act christopher columbus fellowship act james madison - bill of rights commemorative coin act (pub. l. 102-281, approved 5/13/92) (House agreed to the conference report on h.r. 3337, to require the secretary of the treasury to mint coins in commemoration of the 200th anniversary of the white House.)",One-Hundred and Second Congress,House,4/8/1992,,,,
"H.res.432 by hall, tony (d-oh) -- procedural Resolution - h.r. 4364 (House passed h. res. 432, the rule under which h.r. 4364 was considered.)",One-Hundred and Second Congress,House,4/29/1992,,,,
(House agreed to the thomas of georgia motion that the committee of the whole rise and report the bill back to the House.),One-Hundred and Second Congress,House,6/23/1992,,,,
"H.r.5427 by fazio (d-ca) -- legislative branch appropriations act, 1993 congressional operations appropriations act, 1993 (pub. l. 102-392, approved 10/06/92) (House agreed to the swett amendment that rescinds a total of $6.8 million of unused funds appropriated for fiscal year 1991 for the House of representatives under the heading of ""salaries and expenses"".)",One-Hundred and Second Congress,House,6/24/1992,,,,
(House agreed to the walker amendment as amended.),One-Hundred and Second Congress,House,6/29/1992,,,,
"H.res.518 by rose (d-nc) -- Resolution relating to the privileges of the House (House agreed to h. res. 518, relating to the privileges of the House.)",One-Hundred and Second Congress,House,7/22/1992,,,,
"H.c.r.246 by waxman (d-ca) -- Resolution concerning trade agreements (House agreed to h.con.res. 246, expressing the sense of the Senate with respect to the relation of trade agreements to health, safety, labor, and environmental laws of the united states.)",One-Hundred and Second Congress,House,8/6/1992,,,,
"H.r.3590 by moakley (d-ma) -- private relief (House passed h.r. 3590, amended, for the relief of lloyd b. gamble.)",One-Hundred and Second Congress,House,8/11/1992,,,,
"H.r.5504 by murtha (d-pa) -- department of defense appropriations act, 1993 (pub. l. 102-396, approved 10/06/92) (House agreed to the murtha motion that, pursuant to rule xxviii, clause 6(a) of the House rules, the conference committee meetings between the House and the Senate on h.r. 5504 be closed to the public at such times as classified national security information is under consideration, provided, however, that any sitting member of Congress shall have a right to attend any closed or open meeting.)",One-Hundred and Second Congress,House,9/24/1992,,,,
"S.c.r.2 by mitchell, george (d-me) -- Resolution supporting united states policy in the persian gulf (Senate passed s. con. res. 2, commending and supporting the efforts and leadership of the president as commander in chief in the persian gulf hostilities, and supporting the men and women of the u.s. armed forces who are carrying out their missions with professional excellence, dedicated patriotism and exemplary bravery.)",One-Hundred and Second Congress,Senate,1/17/1991,,,,
"H.r.4 by rostenkowski (d-il) -- operation desert shield participants, extension of time to file income tax returns (pub. l. 102-2, approved 1/30/91) (Senate passed h.r. 4, to extend the time for performing certain acts under the internal revenue laws for individuals performing services as part of the desert shield operation.)",One-Hundred and Second Congress,Senate,1/24/1991,,,,
"H.r.3 by montgomery (d-ms) -- veterans' compensation amendments of 1991 (pub. l. 102-3, approved 2/06/91) (Senate passed h.r. 3, to amend title 38, united states code, to revise, effective as of january 1, 1991, the rates of disability compensation for veterans with service-connected disabilities and the rates of dependency and indemnity compensation for survivors of such veterans.)",One-Hundred and Second Congress,Senate,1/24/1991,,,,
"S.c.r.6 by dole (r-ks) -- Resolution concerning economic benefits to the soviet union in light of the baltic states crisis (Senate agreed to s.con.res. 6, condemning soviet violence against the people and democratic governments of lithuania, latvia, and estonia, and urges the president to review all economic benefits provided by the u.s. government to the soviet union.)",One-Hundred and Second Congress,Senate,1/24/1991,,,,
"S.c.r.5 by mitchell, george (d-me) -- Resolution demanding that iraq abide by the geneva convention (Senate agreed to s.con.res. 5, condemning the failure of iraq to treat prisoners of war in strict conformity with the third geneva convention.)",One-Hundred and Second Congress,Senate,1/24/1991,,,,
"S.c.r.4 by mitchell, george (d-me) -- Resolution condemning iraq's unprovoked attack on israel (Senate agreed to s.con.res. 4, condemning the unprovoked attacks by iraq on israel and commending the government of israel for its restraint.)",One-Hundred and Second Congress,Senate,1/24/1991,,,,
"H.r.556 by montgomery (d-ms) -- agent orange act of 1991 (pub. l. 102-4, approved 2/06/91) (Senate passed h.r. 556, to provide for the secretary of veterans affairs to obtain independent scientific review of the available scientific evidence regarding associations between diseases and exposure to dioxin and other chemical compounds in herbicides.)",One-Hundred and Second Congress,Senate,1/30/1991,,,,
"(Senate confirmed the nomination of lynn martin, of illinois, to be secretary of labor.)",One-Hundred and Second Congress,Senate,2/7/1991,,,,
"(Senate agreed to the glenn amendment no. 7, expressing the sense of the Senate that the secretary of defense should prescribe regulations governing the assignment of members of the armed forces who are parents of minor children.)",One-Hundred and Second Congress,Senate,2/20/1991,,,,
"(Senate confirmed edward r. madigan, of illinois, to be secretary of agriculture.)",One-Hundred and Second Congress,Senate,3/7/1991,,,,
"S.res.76 by specter (r-pa) -- Resolution concerning punishment of all iraqi officials involved in war crimes (Senate agreed to s. res. 76, to encourage the president of the united states to confer with the sovereign state of kuwait, countries of the coalition or the united nations to establish an international criminal court or an international military tribunal to try and punish all individuals, including president saddam hussein, involved in the planning or execution of crimes against peace, war crimes, and crimes against humanity as defined under international law.)",One-Hundred and Second Congress,Senate,3/14/1991,,,,
"(Senate agreed to the mitchell amendment no. 36, (to helms amendment no. 35), to express the sense of the Senate that none of the funds appropriated or otherwise made available by any provision of law may be obligated or expended for the purpose of rebuilding iraq while saddam hussein remains in power in iraq.)",One-Hundred and Second Congress,Senate,3/14/1991,,,,
"S.207 by leahy (d-vt) -- futures trading practices act of 1991 intermarket coordination act of 1991 (Senate agreed to the bond/wirth/garn amendment no. 68, making applicable to any deposit (as defined under the federal reserve act and regulations promulgated thereunder in effect on the date of enactment of this amendment) if the deposit is offered by an insured depository institution or credit union, or a federal or state branch or agency of a foreign bank.)",One-Hundred and Second Congress,Senate,4/18/1991,,,,
"(by a two-thirds majority, the Senate ratified the international convention on standards of training, certification and watchkeeping for seafarers, with annex, 1978 (ex. ee 96th cong., 1st sess.).)",One-Hundred and Second Congress,Senate,5/14/1991,,,,
"(by a two-thirds majority, the Senate ratified the annex iii to the 1973 convention for the prevention of pollution from ships (treaty doc. 101-7).)",One-Hundred and Second Congress,Senate,5/14/1991,,,,
"(by a two-thirds majority, the Senate ratified the 1988 protocols relating to the safety of life at sea and load line conventions (treaty doc. 102-2).)",One-Hundred and Second Congress,Senate,5/14/1991,,,,
"(by a two-thirds majority, the Senate ratified convention concerning the abolition of forced labor, with two understandings (ex. k, 88th cong., 1st sess.)",One-Hundred and Second Congress,Senate,5/14/1991,,,,
"H.r.2622 by roybal (d-ca) -- treasury, postal service and general government appropriations act, 1992 treasury department appropriations act, 1992 postal service appropriations act, 1992 executive office appropriations act, 1992 independent agencies appropriations act, 1992 (pub. l. 102-141, approved 10/28/91) (Senate agreed to the deconcini amendment no. 732 (to committee amendment beginning on page 20, line 7), to increase funding for the postal service for revenue forgone on free and reduced rate mail for certain preferred mailers.)",One-Hundred and Second Congress,Senate,7/11/1991,,,,
"H.r.2622 by roybal (d-ca) -- treasury, postal service and general government appropriations act, 1992 treasury department appropriations act, 1992 postal service appropriations act, 1992 executive office appropriations act, 1992 independent agencies appropriations act, 1992 (pub. l. 102-141, approved 10/28/91) (Senate agreed to the helms amendment no. 780, ensuring that criminals convicted of child pornography offenses serve time in prison.)",One-Hundred and Second Congress,Senate,7/18/1991,,,,
"(Senate agreed to the dole amendment no. 781, requiring states to adopt the recommendations of the centers for disease control concerning the transmission of the hiv virus by health care professionals to patients.)",One-Hundred and Second Congress,Senate,7/18/1991,,,,
"(Senate agreed to the levin/biden/chafee amendment no. 979, setting forth policy regarding the continued adherence of the united states to the abm treaty.)",One-Hundred and Second Congress,Senate,8/1/1991,,,,
"(Senate agreed to wirth modified amendment no. 1212 to committee amendment beginning on line 4, page 100, to prohibit the department of defense contracting with foreign persons that support the arab boycott of israel.)",One-Hundred and Second Congress,Senate,9/26/1991,,,,
"S.res.186 by graham, bob (d-fl) -- Resolution concerning haiti (Senate agreed to s.res. 186, expressing the Senate's support for democracy in haiti.)",One-Hundred and Second Congress,Senate,10/2/1991,,,,
"S.j.r.110 by moynihan (d-ny) -- Resolution repealing united nations general assembly Resolution 3379 (Senate passed s.j.res. 110, expressing the sense of the Congress that the united states and the soviet union should lead an effort to promptly repeal united nations general assembly Resolution 3379.)",One-Hundred and Second Congress,Senate,10/2/1991,,,,
"H.r.2426 by hefner (d-nc) -- military construction appropriations act, 1992 (pub. l. 102-136, approved 10/25/91) (Senate agreed to the conference report on h.r. 2426, making appropriations for military construction for the department of defense for the fiscal year ending september 30, 1992.)",One-Hundred and Second Congress,Senate,10/16/1991,,,,
"S.res.209 by brown, hank (r-co) -- Resolution condemning sexual harassment (Senate passed s.res. 209, to condemn sexual harassment.)",One-Hundred and Second Congress,Senate,10/28/1991,,,,
"S.1745 by danforth (r-mo) -- civil rights act of 1991 glass ceiling act of 1991 government employee rights act of 1991 (pub. l. 102-166, approved 11/21/91) (Senate agreed to dole amendment no. 1278 to amendment 1274, to secure the right of women to be free of sexual assault and violence by eliminating barriers to the advancement of, and increasing the opportunities and developmental experiences of women and minorities.)",One-Hundred and Second Congress,Senate,10/29/1991,,,,
"S.res.201 by danforth (r-mo) -- Resolution concerning enforcement of the oilseeds gatt panel ruling against the european community (Senate agreed to s.res. 201, to express the sense of the Senate regarding enforcement of the oilseeds gatt panel ruling against the european community .)",One-Hundred and Second Congress,Senate,10/30/1991,,,,
"S.838 by dodd (d-ct) -- child abuse, domestic violence, adoption and family services act of 1992 temporary child care for children with disabilities and crisis nurseries act amendments of 1992 (pub. l. 102-295, approved 5/28/92) (Senate passed s. 838, to amend the child abuse prevention and treatment act to revise and extend programs under such act.)",One-Hundred and Second Congress,Senate,11/7/1991,,,,
